Time (s),Forward Acceleration (cm/s^2),Roll (deg),Batch,Leg,Roll_diff
15.5058516383495,117,-0.816465547700368,0,,
15.5158470873786,85,-0.888085332586366,0,,-0.07161978488599796
15.5258425364078,77,-0.974029074449562,0,,-0.08594374186319598
15.5358379854369,107,-1.04564885933556,0,,-0.07161978488599796
15.545833434466,160,-1.11726864422156,0,,-0.07161978488600007
15.5558288834951,198,-1.17456447213035,0,,-0.057295827908790065
15.5658243325243,212,-1.21753634306195,0,,-0.04297187093159982
15.5758197815534,212,-1.26050821399355,0,,-0.04297187093160004
15.5858152305825,193,-1.26050821399355,0,,0.0
15.5958106796116,134,-1.28915612794795,0,,-0.02864791395440003
15.6058061286408,28,-1.33212799887955,0,,-0.04297187093160004
15.6158015776699,-79,-1.37509986981115,0,,-0.04297187093160004
15.625797026699,-176,-1.44671965469714,0,,-0.07161978488598986
15.6357924757282,-281,-1.57563526749194,0,,-0.12891561279480013
15.6457879247573,-408,-1.77617066517273,0,,-0.20053539768078998
15.6557833737864,-484,-2.09129771867112,0,,-0.3151270534983899
15.6657788228155,-555,-2.5066924710099,0,,-0.4153947523387802
15.6757742718447,-622,-2.89343930939429,0,,-0.38674683838438995
15.6857697208738,-606,-3.16559449196108,0,,-0.27215518256678983
15.6957651699029,-482,-3.33748197568747,0,,-0.17188748372638996
15.705760618932,-303,-3.40910176057347,0,Right,-0.07161978488600029
15.7157560679612,-156,-3.38045384661907,0,Right,0.02864791395440003
15.7257515169903,-81,-3.28018614777867,0,Right,0.10026769884040032
15.7357469660194,-61,-3.16559449196108,0,Right,0.1145916558175899
15.7457424150485,-57,-3.03667887916628,0,Right,0.1289156127947999
15.7557378640777,-51,-2.89343930939429,0,Right,0.14323956977198993
15.7657333131068,-65,-2.75019973962229,0,Right,0.14323956977200014
15.7757287621359,-115,-2.6069601698503,0,Right,0.14323956977198993
15.785724211165,-172,-2.4923685140327,0,Right,0.11459165581760011
15.7957196601942,-208,-2.42074872914671,0,Right,0.07161978488599008
15.8057151092233,-197,-2.37777685821511,0,Right,0.04297187093159982
15.8157105582524,-154,-2.34912894426071,0,Right,0.02864791395440003
15.8257060072816,-117,-2.27750915937471,0,Right,0.07161978488599985
15.8357014563107,-90,-2.16291750355712,0,Right,0.1145916558175899
15.8456969053398,-95,-2.03400189076232,0,Right,0.12891561279480035
15.8556923543689,-111,-1.86211440703593,0,Right,0.17188748372638996
15.8656878033981,-124,-1.69022692330953,0,Right,0.17188748372639995
15.8756832524272,-136,-1.51833943958314,0,Right,0.17188748372638996
15.8856787014563,-148,-1.36077591283395,0,Right,0.15756352674918994
15.8956741504854,-115,-1.21753634306195,0,Right,0.14323956977200014
15.9056695995146,-51,-1.07429677328996,0,Right,0.14323956977198993
15.9156650485437,11,-0.916733246540764,0,Right,0.15756352674919594
15.9256604975728,55,-0.730521805837172,0,Right,0.18621144070359208
15.9356559466019,79,-0.529986408156379,0,Right,0.20053539768079298
15.9456513956311,90,-0.300803096521188,0,Right,0.229183311635191
15.9556468446602,83,-0.0859437418631967,0,Right,0.21485935465799127
15.9656422936893,65,0.128915612794795,0,Right,0.2148593546579917
15.9756377427184,45,0.329451010475587,0,,0.200535397680792
15.9856331917476,20,0.529986408156379,0,,0.20053539768079198
15.9956286407767,0,0.701873891882773,0,,0.17188748372639406
16.0056240898058,0,0.873761375609166,0,,0.17188748372639295
16.0156195388349,2,1.01700094538116,0,,0.14323956977199392
16.0256149878641,-1,1.14591655817596,0,,0.12891561279480013
16.0356104368932,0,1.24618425701635,0,,0.10026769884038989
16.0456058859223,13,1.33212799887955,0,,0.08594374186320008
16.0556013349514,21,1.38942382678835,0,,0.05729582790880006
16.0655967839806,25,1.41807174074275,0,,0.02864791395440003
16.0755922330097,33,1.41807174074275,0,,0.0
16.0855876820388,51,1.40374778376555,0,,-0.014323956977200014
16.095583131068,60,1.37509986981115,0,,-0.02864791395440003
16.1055785800971,39,1.33212799887955,0,,-0.04297187093160004
16.1155740291262,8,1.28915612794795,0,,-0.04297187093160004
16.1255694781553,2,1.28915612794795,0,,0.0
16.1355649271845,39,1.33212799887955,0,,0.04297187093160004
16.1455603762136,99,1.40374778376555,0,,0.07161978488600007
16.1555558252427,155,1.48969152562874,0,,0.08594374186318987
16.1655512742718,211,1.57563526749194,0,,0.08594374186320008
16.175546723301,281,1.63293109540074,0,,0.05729582790880006
16.1855421723301,337,1.66157900935514,0,,0.028647913954399806
16.1955376213592,343,1.64725505237794,0,,-0.014323956977200014
16.2055330703883,272,1.60428318144634,0,,-0.04297187093159982
16.2155285194175,177,1.56131131051474,0,,-0.04297187093160004
16.2255239684466,102,1.58995922446914,0,,0.02864791395440003
16.2355194174757,102,1.60428318144634,0,,0.014323956977200014
16.2455148665049,2,1.69022692330953,0,,0.08594374186318987
16.255510315534,-103,1.76184670819553,0,,0.07161978488600007
16.2655057645631,-202,1.84779045005873,0,,0.08594374186320008
16.2755012135922,-204,1.93373419192193,0,,0.08594374186319986
16.2854966626214,-341,2.10562167564832,0,,0.17188748372639018
16.2954921116505,-400,2.30615707332911,0,,0.20053539768078998
16.3054875606796,-402,2.5066924710099,0,,0.20053539768078998
16.3154830097087,-421,2.72155182566789,0,,0.21485935465798978
16.3254784587379,-369,2.87911535241709,0,,0.15756352674919993
16.335473907767,-340,2.97938305125748,0,,0.10026769884039011
16.3454693567961,-337,3.10829866405228,0,,0.1289156127947999
16.3554648058252,-257,3.19424240591548,0,Left,0.08594374186320008
16.3654602548544,-109,3.19424240591548,0,Left,0.0
16.3754557038835,-96,3.19424240591548,0,Left,0.0
16.3854511529126,-93,3.20856636289268,0,Left,0.014323956977200236
16.3954466019417,-106,3.20856636289268,0,Left,0.0
16.4054420509709,-105,3.23721427684707,0,Left,0.028647913954389814
16.4154375,-104,3.20856636289268,0,Left,-0.028647913954389814
16.4254329490291,-120,3.19424240591548,0,Left,-0.014323956977200236
16.4354283980582,-151,3.15127053498388,0,Left,-0.04297187093159982
16.4454238470874,-178,3.07965075009788,0,Left,-0.07161978488600029
16.4554192961165,-178,2.99370700823468,0,Left,-0.08594374186319964
16.4654147451456,-155,2.89343930939429,0,Left,-0.10026769884039011
16.4754101941748,-121,2.75019973962229,0,Left,-0.14323956977200014
16.4854056432039,-78,2.6069601698503,0,Left,-0.14323956977198993
16.495401092233,-37,2.44939664310111,0,Left,-0.15756352674919016
16.5053965412621,-25,2.30615707332911,0,Left,-0.1432395697719997
16.5153919902913,-33,2.16291750355712,0,Left,-0.14323956977198993
16.5253874393204,-42,2.03400189076232,0,Left,-0.12891561279480035
16.5353828883495,-38,1.90508627796753,0,Left,-0.1289156127947899
16.5453783373786,-12,1.77617066517273,0,Left,-0.1289156127947999
16.5553737864078,18,1.64725505237794,0,Left,-0.12891561279479014
16.5653692354369,36,1.53266339656034,0,Left,-0.11459165581759989
16.575364684466,49,1.41807174074275,0,Left,-0.1145916558175899
16.5853601334951,60,1.30348008492515,0,Left,-0.11459165581760011
16.5953555825243,53,1.18888842910755,0,Left,-0.11459165581759989
16.6053510315534,38,1.05997281631276,0,Left,-0.12891561279479014
16.6153464805825,30,0.931057203517964,0,Left,-0.12891561279479602
16.6253419296116,32,0.816465547700368,0,Left,-0.1145916558175959
16.6353373786408,29,0.701873891882773,0,Left,-0.114591655817595
16.6453328276699,15,0.601606193042377,0,Left,-0.1002676988403961
16.655328276699,5,0.51566245117918,0,Left,-0.08594374186319698
16.6653237257282,15,0.444042666293183,0,Left,-0.07161978488599696
16.6753191747573,17,0.386746838384385,0,Left,-0.057295827908798
16.6853146237864,25,0.343774967452787,0,Left,-0.04297187093159799
16.6953100728155,50,0.300803096521188,0,Left,-0.04297187093159904
16.7053055218447,84,0.25783122558959,0,Left,-0.04297187093159799
16.7153009708738,108,0.243507268612391,0,Left,-0.014323956977198987
16.7252964199029,131,0.229183311635191,0,Left,-0.014323956977199986
16.735291868932,143,0.214859354657992,0,Left,-0.014323956977199015
16.7452873179612,145,0.171887483726393,0,Left,-0.04297187093159899
16.7552827669903,139,0.128915612794795,0,Left,-0.042971870931598016
16.7652782160194,129,0.100267698840396,0,Left,-0.028647913954398987
16.7752736650485,97,0.0429718709315983,0,Left,-0.057295827908797704
16.7852691140777,61,0.0,0,Left,-0.0429718709315983
16.7952645631068,64,-0.0859437418631967,0,,-0.0859437418631967
16.8052600121359,120,-0.171887483726393,0,,-0.08594374186319631
16.815255461165,187,-0.272155182566789,0,,-0.10026769884039599
16.8252509101942,240,-0.358098924429986,0,,-0.08594374186319698
16.8352463592233,255,-0.415394752338784,0,,-0.057295827908798
16.8452418082524,158,-0.472690580247582,0,,-0.057295827908798
16.8552372572815,22,-0.529986408156379,0,,-0.057295827908797003
16.8652327063107,-10,-0.587282236065177,0,,-0.05729582790879806
16.8752281553398,-64,-0.630254106996776,0,,-0.04297187093159893
16.8852236043689,-162,-0.673225977928374,0,,-0.042971870931598044
16.8952190533981,-234,-0.75916971979157,0,,-0.08594374186319598
16.9052145024272,-361,-0.931057203517964,0,,-0.17188748372639395
16.9152099514563,-471,-1.17456447213035,0,,-0.24350726861238614
16.9252054004854,-492,-1.46104361167434,0,,-0.28647913954398985
16.9352008495146,-475,-1.76184670819553,0,,-0.3008030965211901
16.9451962985437,-507,-1.99103001983072,0,,-0.22918331163519
16.9551917475728,-468,-2.13426958960272,0,,-0.14323956977200014
16.9651871966019,-350,-2.17724146053432,0,Right,-0.04297187093159982
16.9751826456311,-225,-2.13426958960272,0,Right,0.04297187093159982
16.9851780946602,-158,-2.03400189076232,0,Right,0.10026769884040032
16.9951735436893,-129,-1.90508627796753,0,Right,0.1289156127947899
17.0051689927184,-107,-1.76184670819553,0,Right,0.14323956977199992
17.0151644417476,-75,-1.61860713842354,0,Right,0.14323956977198993
17.0251598907767,-46,-1.47536756865154,0,Right,0.14323956977200014
17.0351553398058,-60,-1.33212799887955,0,Right,0.14323956977198993
17.0451507888349,-105,-1.23186030003915,0,Right,0.1002676988404001
17.0551462378641,-127,-1.13159260119876,0,Right,0.10026769884038989
17.0651416868932,-127,-1.03132490235836,0,Right,0.1002676988404001
17.0751371359223,-121,-0.931057203517964,0,Right,0.10026769884039599
17.0851325849515,-71,-0.75916971979157,0,Right,0.17188748372639395
17.0951280339806,-57,-0.544310365133579,0,Right,0.214859354657991
17.1051234830097,-108,-0.286479139543989,0,Right,0.25783122558959
17.1151189320388,-123,-0.0286479139543989,0,Right,0.2578312255895901
17.125114381068,-103,0.214859354657992,0,Right,0.2435072686123909
17.1351098300971,-79,0.458366623270382,0,,0.24350726861239003
17.1451052791262,-56,0.687549934905573,0,,0.229183311635191
17.1551007281553,-23,0.916733246540764,0,,0.229183311635191
17.1650961771845,16,1.14591655817596,0,,0.229183311635196
17.1750916262136,44,1.38942382678835,0,,0.24350726861239003
17.1850870752427,62,1.61860713842354,0,,0.22918331163519
17.1950825242718,63,1.83346649308153,0,,0.21485935465799
17.205077973301,58,2.03400189076232,0,,0.20053539768078976
17.2150734223301,57,2.22021333146591,0,,0.1862114407035902
17.2250688713592,53,2.37777685821511,0,,0.15756352674919993
17.2350643203883,53,2.4923685140327,0,,0.1145916558175899
17.2450597694175,67,2.5639882989187,0,,0.07161978488600029
17.2550552184466,74,2.5926362128731,0,Left,0.02864791395440003
17.2650506674757,69,2.5783122558959,0,Left,-0.014323956977200236
17.2750461165049,45,2.5496643419415,0,Left,-0.02864791395440003
17.285041565534,32,2.5066924710099,0,Left,-0.04297187093159982
17.2950370145631,24,2.43507268612391,0,Left,-0.07161978488599008
17.3050324635922,14,2.32048103030631,0,Left,-0.11459165581760011
17.3150279126214,-12,2.14859354657992,0,Left,-0.17188748372638996
17.3250233616505,-38,1.97670606285352,0,Left,-0.17188748372639995
17.3350188106796,-33,1.80481857912713,0,Left,-0.17188748372638996
17.3450142597087,-15,1.64725505237794,0,Left,-0.15756352674919016
17.3550097087379,-20,1.51833943958314,0,Left,-0.1289156127947999
17.365005157767,-36,1.44671965469714,0,Left,-0.07161978488600007
17.3750006067961,-33,1.44671965469714,0,Left,0.0
17.3849960558252,13,1.48969152562874,0,Left,0.04297187093160004
17.3949915048544,92,1.51833943958314,0,Left,0.02864791395440003
17.4049869538835,189,1.56131131051474,0,Left,0.04297187093160004
17.4149824029126,280,1.57563526749194,0,Left,0.014323956977200014
17.4249778519417,347,1.58995922446914,0,Left,0.014323956977200014
17.4349733009709,383,1.57563526749194,0,Left,-0.014323956977200014
17.44496875,371,1.53266339656034,0,Left,-0.04297187093160004
17.4549641990291,312,1.50401548260594,0,Left,-0.02864791395440003
17.4649596480582,218,1.50401548260594,0,Left,0.0
17.4749550970874,89,1.54698735353754,0,Left,0.04297187093160004
17.4849505461165,-61,1.64725505237794,0,Left,0.10026769884039988
17.4949459951456,-195,1.80481857912713,0,Left,0.15756352674919016
17.5049414441748,-345,2.03400189076232,0,Left,0.2291833116351898
17.5149368932039,-483,2.32048103030631,0,Left,0.28647913954399007
17.524932342233,-576,2.6499320407819,0,Left,0.3294510104755899
17.5349277912621,-557,3.00803096521188,0,Left,0.35809892442998015
17.5449232402913,-461,3.30883406173307,0,Left,0.30080309652118986
17.5549186893204,-360,3.53801737336826,0,Left,0.22918331163519
17.5649141383495,-274,3.68125694314026,0,Left,0.14323956977200014
17.5749095873786,-182,3.73855277104906,0,Left,0.05729582790880006
17.5849050364078,-91,3.72422881407186,0,Left,-0.014323956977200236
17.5949004854369,-47,3.66693298616306,0,Left,-0.05729582790879961
17.604895934466,-57,3.56666528732266,0,Left,-0.10026769884040032
17.6148913834951,-119,3.48072154545947,0,Left,-0.08594374186318987
17.6248868325243,-187,3.40910176057347,0,Left,-0.07161978488599985
17.6348822815534,-210,3.35180593266467,0,Left,-0.05729582790880006
17.6448777305825,-184,3.30883406173307,0,Left,-0.042971870931600264
17.6548731796116,-152,3.23721427684707,0,Left,-0.07161978488599985
17.6648686286408,-146,3.13694657800668,0,Left,-0.10026769884039011
17.6748640776699,-159,2.99370700823468,0,Left,-0.1432395697719997
17.684859526699,-153,2.82181952450829,0,Left,-0.17188748372638996
17.6948549757282,-135,2.6069601698503,0,Left,-0.21485935465799022
17.7048504247573,-106,2.34912894426071,0,Left,-0.25783122558959004
17.7148458737864,-75,2.07697376169392,0,Left,-0.27215518256678983
17.7248413228155,-47,1.80481857912713,0,Left,-0.27215518256679005
17.7348367718447,-30,1.53266339656034,0,Left,-0.27215518256679005
17.7448322208738,-25,1.28915612794795,0,Left,-0.24350726861239003
17.7548276699029,-27,1.05997281631276,0,Left,-0.22918331163519
17.764823118932,-34,0.873761375609166,0,Left,-0.18621144070359397
17.7748185679612,-30,0.687549934905573,0,Left,-0.18621144070359297
17.7848140169903,-17,0.51566245117918,0,Left,-0.17188748372639306
17.7948094660194,-1,0.358098924429986,0,Left,-0.157563526749194
17.8048049150485,22,0.214859354657992,0,Left,-0.14323956977199398
17.8148003640777,40,0.0716197848859972,0,Left,-0.1432395697719948
17.8247958131068,55,-0.0429718709315983,0,Left,-0.1145916558175955
17.8347912621359,67,-0.143239569771994,0,,-0.10026769884039571
17.844786711165,71,-0.243507268612391,0,,-0.10026769884039699
17.8547821601942,65,-0.300803096521188,0,,-0.057295827908796976
17.8647776092233,54,-0.358098924429986,0,,-0.057295827908798
17.8747730582524,43,-0.401070795361584,0,,-0.042971870931598044
17.8847685072815,34,-0.444042666293183,0,,-0.04297187093159899
17.8947639563107,27,-0.487014537224781,0,,-0.04297187093159799
17.9047594053398,17,-0.529986408156379,0,,-0.04297187093159799
17.9147548543689,5,-0.544310365133579,0,,-0.014323956977200014
17.9247503033981,17,-0.558634322110778,0,,-0.014323956977199015
17.9347457524272,54,-0.544310365133579,0,,0.014323956977199015
17.9447412014563,94,-0.51566245117918,0,,0.02864791395439903
17.9547366504854,96,-0.472690580247582,0,,0.04297187093159799
17.9647320995146,79,-0.444042666293183,0,,0.028647913954398974
17.9747275485437,71,-0.429718709315983,0,,0.014323956977200014
17.9847229975728,77,-0.444042666293183,0,,-0.014323956977200014
17.9947184466019,112,-0.458366623270382,0,,-0.014323956977199015
18.0047138956311,149,-0.487014537224781,0,,-0.028647913954398974
18.0147093446602,170,-0.529986408156379,0,,-0.04297187093159799
18.0247047936893,179,-0.587282236065177,0,,-0.05729582790879806
18.0347002427184,180,-0.644578063973975,0,,-0.05729582790879795
18.0446956917476,196,-0.701873891882773,0,,-0.05729582790879806
18.0546911407767,205,-0.730521805837172,0,,-0.028647913954398918
18.0646865898058,176,-0.78781763374597,0,,-0.05729582790879806
18.0746820388349,97,-0.873761375609166,0,,-0.08594374186319598
18.0846774878641,-1,-1.01700094538116,0,,-0.14323956977199392
18.0946729368932,-118,-1.23186030003915,0,,-0.21485935465799
18.1046683859223,-254,-1.50401548260594,0,,-0.27215518256679005
18.1146638349515,-381,-1.81914253610433,0,,-0.3151270534983901
18.1246592839806,-475,-2.17724146053432,0,,-0.3580989244299899
18.1346547330097,-518,-2.5496643419415,0,,-0.37242288140717994
18.1446501820388,-489,-2.86479139543989,0,,-0.3151270534983901
18.154645631068,-414,-3.12262262102948,0,,-0.25783122558959004
18.1646410800971,-325,-3.29451010475587,0,,-0.17188748372638996
18.1746365291262,-214,-3.38045384661907,0,Right,-0.08594374186320008
18.1846319781553,-117,-3.36612988964187,0,Right,0.014323956977200236
18.1946274271845,-56,-3.29451010475587,0,Right,0.07161978488599985
18.2046228762136,-28,-3.16559449196108,0,Right,0.12891561279479014
18.2146183252427,-28,-3.02235492218908,0,Right,0.1432395697719997
18.2246137742718,-40,-2.85046743846269,0,Right,0.1718874837263904
18.234609223301,-72,-2.6929039117135,0,Right,0.15756352674918972
18.2446046723301,-110,-2.5496643419415,0,Right,0.14323956977200014
18.2546001213592,-121,-2.42074872914671,0,Right,0.12891561279479014
18.2645955703883,-134,-2.29183311635191,0,Right,0.1289156127947999
18.2745910194175,-138,-2.16291750355712,0,Right,0.1289156127947897
18.2845864684466,-113,-2.03400189076232,0,Right,0.12891561279480035
18.2945819174757,-93,-1.87643836401313,0,Right,0.15756352674918994
18.3045773665048,-86,-1.70455088028673,0,Right,0.17188748372639995
18.314572815534,-82,-1.51833943958314,0,Right,0.18621144070358997
18.3245682645631,-78,-1.30348008492515,0,Right,0.21485935465799
18.3345637135922,-62,-1.10294468724436,0,Right,0.20053539768078998
18.3445591626214,-44,-0.902409289563565,0,Right,0.20053539768079498
18.3545546116505,-32,-0.701873891882773,0,Right,0.20053539768079198
18.3645500606796,-34,-0.529986408156379,0,Right,0.17188748372639406
18.3745455097087,-22,-0.358098924429986,0,Right,0.171887483726393
18.3845409587379,9,-0.186211440703593,0,Right,0.17188748372639298
18.394536407767,50,0.0,0,Right,0.186211440703593
18.4045318567961,74,0.200535397680792,0,,0.200535397680792
18.4145273058252,85,0.415394752338784,0,,0.21485935465799197
18.4245227548544,79,0.630254106996776,0,,0.214859354657992
18.4345182038835,71,0.816465547700368,0,,0.18621144070359208
18.4445136529126,80,0.974029074449562,0,,0.15756352674919394
18.4545091019417,86,1.10294468724436,0,,0.12891561279479802
18.4645045509709,85,1.21753634306195,0,,0.1145916558175899
18.4745,76,1.30348008492515,0,,0.08594374186320008
18.4844954490291,66,1.37509986981115,0,,0.07161978488600007
18.4944908980582,66,1.43239569771994,0,,0.05729582790878984
18.5044863470874,79,1.48969152562874,0,,0.05729582790880006
18.5144817961165,99,1.51833943958314,0,,0.02864791395440003
18.5244772451456,114,1.48969152562874,0,,-0.02864791395440003
18.5344726941748,111,1.43239569771994,0,,-0.05729582790880006
18.5444681432039,71,1.33212799887955,0,,-0.10026769884038989
18.554463592233,42,1.21753634306195,0,,-0.11459165581760011
18.5644590412621,22,1.08862073026716,0,,-0.1289156127947899
18.5744544902913,-4,0.959705117472363,0,,-0.12891561279479702
18.5844499393204,-43,0.873761375609166,0,,-0.08594374186319698
18.5944453883495,-35,0.845113461654767,0,,-0.02864791395439903
18.6044408373786,24,0.902409289563565,0,,0.05729582790879806
18.6144362864078,92,0.988353031426762,0,,0.08594374186319698
18.6244317354369,144,1.10294468724436,0,,0.114591655817598
18.634427184466,209,1.23186030003915,0,,0.1289156127947899
18.6444226334951,281,1.34645195585675,0,,0.11459165581760011
18.6544180825243,317,1.44671965469714,0,,0.10026769884038989
18.6644135315534,300,1.53266339656034,0,,0.08594374186320008
18.6744089805825,241,1.60428318144634,0,,0.07161978488600007
18.6844044296116,146,1.67590296633234,0,,0.07161978488599985
18.6943998786408,-14,1.77617066517273,0,,0.10026769884039011
18.7043953276699,-190,1.93373419192193,0,,0.15756352674919993
18.714390776699,-297,2.16291750355712,0,,0.22918331163519023
18.7243862257282,-377,2.44939664310111,0,,0.2864791395439896
18.7343816747573,-378,2.79317161055389,0,,0.34377496745278036
18.7443771237864,-366,3.15127053498388,0,,0.3580989244299899
18.7543725728155,-366,3.43774967452787,0,,0.28647913954399007
18.7643680218447,-345,3.60963715825426,0,,0.17188748372638996
18.7743634708738,-293,3.68125694314026,0,,0.07161978488599985
18.7843589199029,-203,3.70990485709466,0,,0.02864791395440003
18.794354368932,-119,3.66693298616306,0,,-0.04297187093159982
18.8043498179612,-87,3.62396111523146,0,,-0.042971870931600264
18.8143452669903,-111,3.59531320127706,0,,-0.02864791395440003
18.8243407160194,-151,3.60963715825426,0,,0.014323956977200236
18.8343361650485,-195,3.66693298616306,0,,0.05729582790880006
18.8443316140777,-215,3.73855277104906,0,,0.07161978488599985
18.8543270631068,-209,3.78152464198065,0,,0.04297187093159005
18.8643225121359,-190,3.79584859895785,0,,0.014323956977199792
18.874317961165,-176,3.78152464198065,0,,-0.014323956977199792
18.8843134101942,-187,3.72422881407186,0,,-0.05729582790879029
18.8943088592233,-198,3.65260902918586,0,,-0.07161978488599985
18.9043043082524,-191,3.53801737336826,0,,-0.11459165581760011
18.9142997572815,-162,3.42342571755067,0,,-0.1145916558175899
18.9242952063107,-119,3.29451010475587,0,,-0.1289156127947999
18.9342906553398,-75,3.15127053498388,0,,-0.14323956977198993
18.9442861043689,-43,2.97938305125748,0,,-0.17188748372640017
18.9542815533981,-29,2.82181952450829,0,,-0.15756352674918972
18.9642770024272,-22,2.6642559977591,0,,-0.15756352674919016
18.9742724514563,-17,2.5066924710099,0,,-0.15756352674919993
18.9842679004854,-14,2.37777685821511,0,,-0.12891561279479014
18.9942633495146,-24,2.24886124542031,0,,-0.1289156127947999
22.5026659587379,253,1.10294468724436,1,,-1.14591655817595
22.512661407767,162,1.20321238608475,1,,0.10026769884038989
22.5226568567961,-11,1.33212799887955,1,,0.12891561279480013
22.5326523058252,-204,1.51833943958314,1,,0.18621144070358997
22.5426477548544,-342,1.80481857912713,1,,0.28647913954399007
22.5526432038835,-389,2.16291750355712,1,,0.35809892442999014
22.5626386529126,-389,2.5496643419415,1,,0.38674683838437973
22.5726341019417,-403,2.87911535241709,1,,0.3294510104755899
22.5826295509709,-416,3.12262262102948,1,,0.24350726861239025
22.592625,-373,3.29451010475587,1,,0.17188748372638996
22.6026204490291,-290,3.38045384661907,1,,0.08594374186320008
22.6126158980582,-208,3.40910176057347,1,Left,0.02864791395440003
22.6226113470874,-156,3.40910176057347,1,Left,0.0
22.6326067961165,-133,3.39477780359627,1,Left,-0.014323956977200236
22.6426022451456,-127,3.38045384661907,1,Left,-0.014323956977199792
22.6525976941748,-116,3.39477780359627,1,Left,0.014323956977199792
22.6625931432039,-112,3.42342571755067,1,Left,0.02864791395440003
22.672588592233,-126,3.49504550243666,1,Left,0.07161978488599008
22.6825840412621,-153,3.58098924429986,1,Left,0.08594374186320008
22.6925794902913,-184,3.63828507220866,1,Left,0.05729582790880006
22.7025749393204,-209,3.65260902918586,1,Left,0.014323956977199792
22.7125703883495,-220,3.63828507220866,1,Left,-0.014323956977199792
22.7225658373786,-204,3.59531320127706,1,Left,-0.042971870931600264
22.7325612864078,-179,3.50936945941386,1,Left,-0.08594374186320008
22.7425567354369,-163,3.39477780359627,1,Left,-0.1145916558175899
22.752552184466,-153,3.23721427684707,1,Left,-0.15756352674919993
22.7625476334951,-143,3.03667887916628,1,Left,-0.20053539768078998
22.7725430825243,-119,2.80749556753109,1,Left,-0.22918331163519
22.7825385315534,-82,2.5783122558959,1,Left,-0.22918331163519
22.7925339805825,-35,2.33480498728351,1,Left,-0.2435072686123898
22.8025294296116,7,2.11994563262552,1,Left,-0.21485935465799022
22.8125248786408,38,1.91941023494473,1,Left,-0.20053539768078998
22.8225203276699,52,1.73319879424113,1,Left,-0.18621144070359996
22.832515776699,43,1.58995922446914,1,Left,-0.14323956977198993
22.8425112257282,35,1.46104361167434,1,Left,-0.12891561279480013
